raj,raj_id,raj_nome,juiz_diretor,email,comarca_cirscunscricao,comarca,cirscunscricao_judiciaria
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Cafelândia - 35ª CJ,Cafelândia,35ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Getulina - 35ª CJ,Getulina,35ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Guararapes - 36ª CJ,Guararapes,36ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Ilha Solteira - 37ª CJ,Ilha Solteira,37ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Jales - 55ª CJ,Jales,55ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Lins - 35ª CJ,Lins,35ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Mirandópolis - 37ª CJ,Mirandópolis,37ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Palmeira D’Oeste - 55ª CJ,Palmeira D’Oeste,55ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Penápolis - 36ª CJ,Penápolis,36ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Pereira Barreto - 37ª CJ,Pereira Barreto,37ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Promissão - 35ª CJ,Promissão,35ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Santa Fé do Sul - 55ª CJ,Santa Fé do Sul,55ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Urânia - 55ª CJ,Urânia,55ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Valparaíso - 36ª CJ,Valparaíso,36ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Bertioga - 1ª CJ,Bertioga,1ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Cananéia - 21ª CJ,Cananéia,21ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Cubatão - 1ª CJ,Cubatão,1ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Eldorado - 21ª CJ,Eldorado,21ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Guarujá - 1ª CJ,Guarujá,1ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Iguape - 21ª CJ,Iguape,21ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Itanhaém - 56ª CJ,Itanhaém,56ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Itariri - 56ª CJ,Itariri,56ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Jacupiranga - 21ª CJ,Jacupiranga,21ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Juquiá - 21ª CJ,Juquiá,21ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Miracatu - 21ª CJ,Miracatu,21ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Mongaguá - 56ª CJ,Mongaguá,56ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Pariquera-Açu - 21ª CJ,Pariquera-Açu,21ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Peruíbe - 56ª CJ,Peruíbe,56ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Praia Grande - 1ª CJ,Praia Grande,1ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Registro - 21ª CJ,Registro,21ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Santos - 1ª CJ,Santos,1ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),São Vicente - 1ª CJ,São Vicente,1ª CJ
7ª RAJ - Santos,7ª RAJ,Santos,Juiz diretor: Paulo Sérgio Mangerona,(pmangerona@tjsp.jus.br),Bertioga - 1ª CJ,Bertioga,1ª CJ
7ª RAJ - Santos,7ª RAJ,Santos,Juiz diretor: Paulo Sérgio Mangerona,(pmangerona@tjsp.jus.br),Cananéia - 21ª CJ,Cananéia,21ª CJ
7ª RAJ - Santos,7ª RAJ,Santos,Juiz diretor: Paulo Sérgio Mangerona,(pmangerona@tjsp.jus.br),Cubatão - 1ª CJ,Cubatão,1ª CJ
7ª RAJ - Santos,7ª RAJ,Santos,Juiz diretor: Paulo Sérgio Mangerona,(pmangerona@tjsp.jus.br),Eldorado - 21ª CJ,Eldorado,21ª CJ
7ª RAJ - Santos,7ª RAJ,Santos,Juiz diretor: Paulo Sérgio Mangerona,(pmangerona@tjsp.jus.br),Guarujá - 1ª CJ,Guarujá,1ª CJ
7ª RAJ - Santos,7ª RAJ,Santos,Juiz diretor: Paulo Sérgio Mangerona,(pmangerona@tjsp.jus.br),Iguape - 21ª CJ,Iguape,21ª CJ
7ª RAJ - Santos,7ª RAJ,Santos,Juiz diretor: Paulo Sérgio Mangerona,(pmangerona@tjsp.jus.br),Itanhaém - 56ª CJ,Itanhaém,56ª CJ
7ª RAJ - Santos,7ª RAJ,Santos,Juiz diretor: Paulo Sérgio Mangerona,(pmangerona@tjsp.jus.br),Itariri - 56ª CJ,Itariri,56ª CJ
7ª RAJ - Santos,7ª RAJ,Santos,Juiz diretor: Paulo Sérgio Mangerona,(pmangerona@tjsp.jus.br),Jacupiranga - 21ª CJ,Jacupiranga,21ª CJ
7ª RAJ - Santos,7ª RAJ,Santos,Juiz diretor: Paulo Sérgio Mangerona,(pmangerona@tjsp.jus.br),Juquiá - 21ª CJ,Juquiá,21ª CJ
7ª RAJ - Santos,7ª RAJ,Santos,Juiz diretor: Paulo Sérgio Mangerona,(pmangerona@tjsp.jus.br),Miracatu - 21ª CJ,Miracatu,21ª CJ
7ª RAJ - Santos,7ª RAJ,Santos,Juiz diretor: Paulo Sérgio Mangerona,(pmangerona@tjsp.jus.br),Mongaguá - 56ª CJ,Mongaguá,56ª CJ
7ª RAJ - Santos,7ª RAJ,Santos,Juiz diretor: Paulo Sérgio Mangerona,(pmangerona@tjsp.jus.br),Pariquera-Açu - 21ª CJ,Pariquera-Açu,21ª CJ
7ª RAJ - Santos,7ª RAJ,Santos,Juiz diretor: Paulo Sérgio Mangerona,(pmangerona@tjsp.jus.br),Peruíbe - 56ª CJ,Peruíbe,56ª CJ
7ª RAJ - Santos,7ª RAJ,Santos,Juiz diretor: Paulo Sérgio Mangerona,(pmangerona@tjsp.jus.br),Praia Grande - 1ª CJ,Praia Grande,1ª CJ
7ª RAJ - Santos,7ª RAJ,Santos,Juiz diretor: Paulo Sérgio Mangerona,(pmangerona@tjsp.jus.br),Registro - 21ª CJ,Registro,21ª CJ
7ª RAJ - Santos,7ª RAJ,Santos,Juiz diretor: Paulo Sérgio Mangerona,(pmangerona@tjsp.jus.br),Santos - 1ª CJ,Santos,1ª CJ
7ª RAJ - Santos,7ª RAJ,Santos,Juiz diretor: Paulo Sérgio Mangerona,(pmangerona@tjsp.jus.br),São Vicente - 1ª CJ,São Vicente,1ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Agudos - 32ª CJ,Agudos,32ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Avaré - 24ª CJ,Avaré,24ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Bariri - 33ª CJ,Bariri,33ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Barra Bonita - 33ª CJ,Barra Bonita,33ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Bauru - 32ª CJ,Bauru,32ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Botucatu - 23ª CJ,Botucatu,23ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Cerqueira Cesar - 24ª CJ,Cerqueira Cesar,24ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Chavantes - 25ª CJ,Chavantes,25ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Conchas - 23ª CJ,Conchas,23ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Dois Córregos - 33ª CJ,Dois Córregos,33ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Duartina - 32ª CJ,Duartina,32ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Fartura - 24ª CJ,Fartura,24ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Ipaussu - 25ª CJ,Ipaussu,25ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Itaí - 24ª CJ,Itaí,24ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Itatinga - 23ª CJ,Itatinga,23ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Jaú - 33ª CJ,Jaú,33ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Lençóis Paulista - 32ª CJ,Lençóis Paulista,32ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Macatuba - 33ª CJ,Macatuba,33ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Ourinhos - 25ª CJ,Ourinhos,25ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Paranapanema - 24ª CJ,Paranapanema,24ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Pederneiras - 33ª CJ,Pederneiras,33ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Piraju - 25ª CJ,Piraju,25ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Pirajuí - 32ª CJ,Pirajuí,32ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Piratininga - 32ª CJ,Piratininga,32ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Santa Cruz do Rio Pardo - 25ª CJ,Santa Cruz do Rio Pardo,25ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),São Manuel - 23ª CJ,São Manuel,23ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Taquarituba - 24ª CJ,Taquarituba,24ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Barretos - 14ª CJ,Barretos,14ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Bebedouro - 14ª CJ,Bebedouro,14ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Cardoso - 17ª CJ,Cardoso,17ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Catanduva - 15ª CJ,Catanduva,15ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Colina - 14ª CJ,Colina,14ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Estrela D’Oeste - 18ª CJ,Estrela D’Oeste,18ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Fernandópolis - 18ª CJ,Fernandópolis,18ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),General Salgado - 18ª CJ,General Salgado,18ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Guaíra - 14ª CJ,Guaíra,14ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Itajobi - 15ª CJ,Itajobi,15ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),José Bonifácio - 16ª CJ,José Bonifácio,16ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Macaubal - 16ª CJ,Macaubal,16ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Mirassol - 16ª CJ,Mirassol,16ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Monte Aprazível - 16ª CJ,Monte Aprazível,16ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Monte Azul Paulista - 14ª CJ,Monte Azul Paulista,14ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Neves Paulista - 16ª CJ,Neves Paulista,16ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Nhandeara - 17ª CJ,Nhandeara,17ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Nova Granada - 16ª CJ,Nova Granada,16ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Novo Horizonte - 15ª CJ,Novo Horizonte,15ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Olímpia - 14ª CJ,Olímpia,14ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Ouroeste - 18ª CJ,Ouroeste,18ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Palestina - 16ª CJ,Palestina,16ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Paulo de Faria - 16ª CJ,Paulo de Faria,16ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Potirendaba - 16ª CJ,Potirendaba,16ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Santa Adélia - 15ª CJ,Santa Adélia,15ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),São José do Rio Preto - 16ª CJ,São José do Rio Preto,16ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Tabapuã - 15ª CJ,Tabapuã,15ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Tanabi - 16ª CJ,Tanabi,16ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Urupês - 15ª CJ,Urupês,15ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Viradouro - 14ª CJ,Viradouro,14ª CJ
3ª RAJ - Bauru,3ª RAJ,Bauru,Juiz diretor: Gilmar Ferraz Garmes,(gilmargarmes@tjsp.jus.br),Votuporanga - 17ª CJ,Votuporanga,17ª CJ
8ª RAJ - SJ Rio Preto,8ª RAJ,SJ Rio Preto,Juíza diretora: Tatiana Pereira Viana Santos,(tatianapsantos@tjsp.jus.br),Barretos - 14ª CJ,Barretos,14ª CJ
8ª RAJ - SJ Rio Preto,8ª RAJ,SJ Rio Preto,Juíza diretora: Tatiana Pereira Viana Santos,(tatianapsantos@tjsp.jus.br),Bebedouro - 14ª CJ,Bebedouro,14ª CJ
8ª RAJ - SJ Rio Preto,8ª RAJ,SJ Rio Preto,Juíza diretora: Tatiana Pereira Viana Santos,(tatianapsantos@tjsp.jus.br),Cardoso - 17ª CJ,Cardoso,17ª CJ
8ª RAJ - SJ Rio Preto,8ª RAJ,SJ Rio Preto,Juíza diretora: Tatiana Pereira Viana Santos,(tatianapsantos@tjsp.jus.br),Catanduva - 15ª CJ,Catanduva,15ª CJ
8ª RAJ - SJ Rio Preto,8ª RAJ,SJ Rio Preto,Juíza diretora: Tatiana Pereira Viana Santos,(tatianapsantos@tjsp.jus.br),Colina - 14ª CJ,Colina,14ª CJ
8ª RAJ - SJ Rio Preto,8ª RAJ,SJ Rio Preto,Juíza diretora: Tatiana Pereira Viana Santos,(tatianapsantos@tjsp.jus.br),Estrela D’Oeste - 18ª CJ,Estrela D’Oeste,18ª CJ
8ª RAJ - SJ Rio Preto,8ª RAJ,SJ Rio Preto,Juíza diretora: Tatiana Pereira Viana Santos,(tatianapsantos@tjsp.jus.br),Fernandópolis - 18ª CJ,Fernandópolis,18ª CJ
8ª RAJ - SJ Rio Preto,8ª RAJ,SJ Rio Preto,Juíza diretora: Tatiana Pereira Viana Santos,(tatianapsantos@tjsp.jus.br),General Salgado - 18ª CJ,General Salgado,18ª CJ
8ª RAJ - SJ Rio Preto,8ª RAJ,SJ Rio Preto,Juíza diretora: Tatiana Pereira Viana Santos,(tatianapsantos@tjsp.jus.br),Guaíra - 14ª CJ,Guaíra,14ª CJ
8ª RAJ - SJ Rio Preto,8ª RAJ,SJ Rio Preto,Juíza diretora: Tatiana Pereira Viana Santos,(tatianapsantos@tjsp.jus.br),Itajobi - 15ª CJ,Itajobi,15ª CJ
8ª RAJ - SJ Rio Preto,8ª RAJ,SJ Rio Preto,Juíza diretora: Tatiana Pereira Viana Santos,(tatianapsantos@tjsp.jus.br),José Bonifácio - 16ª CJ,José Bonifácio,16ª CJ
8ª RAJ - SJ Rio Preto,8ª RAJ,SJ Rio Preto,Juíza diretora: Tatiana Pereira Viana Santos,(tatianapsantos@tjsp.jus.br),Macaubal - 16ª CJ,Macaubal,16ª CJ
8ª RAJ - SJ Rio Preto,8ª RAJ,SJ Rio Preto,Juíza diretora: Tatiana Pereira Viana Santos,(tatianapsantos@tjsp.jus.br),Mirassol - 16ª CJ,Mirassol,16ª CJ
8ª RAJ - SJ Rio Preto,8ª RAJ,SJ Rio Preto,Juíza diretora: Tatiana Pereira Viana Santos,(tatianapsantos@tjsp.jus.br),Monte Aprazível - 16ª CJ,Monte Aprazível,16ª CJ
8ª RAJ - SJ Rio Preto,8ª RAJ,SJ Rio Preto,Juíza diretora: Tatiana Pereira Viana Santos,(tatianapsantos@tjsp.jus.br),Monte Azul Paulista - 14ª CJ,Monte Azul Paulista,14ª CJ
8ª RAJ - SJ Rio Preto,8ª RAJ,SJ Rio Preto,Juíza diretora: Tatiana Pereira Viana Santos,(tatianapsantos@tjsp.jus.br),Neves Paulista - 16ª CJ,Neves Paulista,16ª CJ
8ª RAJ - SJ Rio Preto,8ª RAJ,SJ Rio Preto,Juíza diretora: Tatiana Pereira Viana Santos,(tatianapsantos@tjsp.jus.br),Nhandeara - 17ª CJ,Nhandeara,17ª CJ
8ª RAJ - SJ Rio Preto,8ª RAJ,SJ Rio Preto,Juíza diretora: Tatiana Pereira Viana Santos,(tatianapsantos@tjsp.jus.br),Nova Granada - 16ª CJ,Nova Granada,16ª CJ
8ª RAJ - SJ Rio Preto,8ª RAJ,SJ Rio Preto,Juíza diretora: Tatiana Pereira Viana Santos,(tatianapsantos@tjsp.jus.br),Novo Horizonte - 15ª CJ,Novo Horizonte,15ª CJ
8ª RAJ - SJ Rio Preto,8ª RAJ,SJ Rio Preto,Juíza diretora: Tatiana Pereira Viana Santos,(tatianapsantos@tjsp.jus.br),Olímpia - 14ª CJ,Olímpia,14ª CJ
8ª RAJ - SJ Rio Preto,8ª RAJ,SJ Rio Preto,Juíza diretora: Tatiana Pereira Viana Santos,(tatianapsantos@tjsp.jus.br),Ouroeste - 18ª CJ,Ouroeste,18ª CJ
8ª RAJ - SJ Rio Preto,8ª RAJ,SJ Rio Preto,Juíza diretora: Tatiana Pereira Viana Santos,(tatianapsantos@tjsp.jus.br),Palestina - 16ª CJ,Palestina,16ª CJ
8ª RAJ - SJ Rio Preto,8ª RAJ,SJ Rio Preto,Juíza diretora: Tatiana Pereira Viana Santos,(tatianapsantos@tjsp.jus.br),Paulo de Faria - 16ª CJ,Paulo de Faria,16ª CJ
8ª RAJ - SJ Rio Preto,8ª RAJ,SJ Rio Preto,Juíza diretora: Tatiana Pereira Viana Santos,(tatianapsantos@tjsp.jus.br),Potirendaba - 16ª CJ,Potirendaba,16ª CJ
8ª RAJ - SJ Rio Preto,8ª RAJ,SJ Rio Preto,Juíza diretora: Tatiana Pereira Viana Santos,(tatianapsantos@tjsp.jus.br),Santa Adélia - 15ª CJ,Santa Adélia,15ª CJ
8ª RAJ - SJ Rio Preto,8ª RAJ,SJ Rio Preto,Juíza diretora: Tatiana Pereira Viana Santos,(tatianapsantos@tjsp.jus.br),São José do Rio Preto - 16ª CJ,São José do Rio Preto,16ª CJ
8ª RAJ - SJ Rio Preto,8ª RAJ,SJ Rio Preto,Juíza diretora: Tatiana Pereira Viana Santos,(tatianapsantos@tjsp.jus.br),Tabapuã - 15ª CJ,Tabapuã,15ª CJ
8ª RAJ - SJ Rio Preto,8ª RAJ,SJ Rio Preto,Juíza diretora: Tatiana Pereira Viana Santos,(tatianapsantos@tjsp.jus.br),Tanabi - 16ª CJ,Tanabi,16ª CJ
8ª RAJ - SJ Rio Preto,8ª RAJ,SJ Rio Preto,Juíza diretora: Tatiana Pereira Viana Santos,(tatianapsantos@tjsp.jus.br),Urupês - 15ª CJ,Urupês,15ª CJ
8ª RAJ - SJ Rio Preto,8ª RAJ,SJ Rio Preto,Juíza diretora: Tatiana Pereira Viana Santos,(tatianapsantos@tjsp.jus.br),Viradouro - 14ª CJ,Viradouro,14ª CJ
8ª RAJ - SJ Rio Preto,8ª RAJ,SJ Rio Preto,Juíza diretora: Tatiana Pereira Viana Santos,(tatianapsantos@tjsp.jus.br),Votuporanga - 17ª CJ,Votuporanga,17ª CJ
4ª RAJ - Campinas,4ª RAJ,Campinas,Juiz diretor: Wagner Roby Gidaro,(wgidaro@tjsp.jus.br),Aguaí - 50ª CJ,Aguaí,50ª CJ
